city,geography,state_id,year,latitude,longitude,average_price,total_volume,sm_4046,l_4225,xl_4770
Spokane,Spokane,WA,2018,47.6571934,-117.4235106,1.537244898,4916883.19,1125427.26,1492073.54,24794.43
Spokane,Spokane,WA,2019,47.6571934,-117.4235106,1.661923077,5276314.13,1109976.77,1140470.19,4307.01
Spokane,Spokane,WA,2020,47.6571934,-117.4235106,1.480104167,6248421.45,1045890,658361.48,2491.98
St. Louis,St. Louis,MO,2015,38.6529545,-90.2411166,1.503365385,9902575.24,4954196.31,1976740.1,3868.89
St. Louis,St. Louis,MO,2016,38.6529545,-90.2411166,1.185480769,10644475.6,3383228.91,958907.97,6242.27
St. Louis,St. Louis,MO,2017,38.6529545,-90.2411166,1.591792453,8988122.5,3986006.74,743585.42,10891.16
St. Louis,St. Louis,MO,2018,38.6529545,-90.2411166,1.44877551,10293960.8,4480585.82,705763.31,24776.01
St. Louis,St. Louis,MO,2019,38.6529545,-90.2411166,1.534615385,10922050.32,4826936.74,664738.55,31956.26
St. Louis,St. Louis,MO,2020,38.6529545,-90.2411166,1.471145833,12412865.06,5574558.64,707395.5,13692.56
Syracuse,Syracuse,NY,2015,43.0481221,-76.1474244,1.529038462,2734333.26,46736.75,1558163.16,18726.65
Syracuse,Syracuse,NY,2016,43.0481221,-76.1474244,1.503461538,3429368.74,81439.63,2069926.56,4539.45
Syracuse,Syracuse,NY,2017,43.0481221,-76.1474244,1.589433962,3731978.02,124076.29,2194750.17,3848.53
Syracuse,Syracuse,NY,2018,43.0481221,-76.1474244,1.218061224,4505901.56,323497.47,2217904.21,4971.12
Syracuse,Syracuse,NY,2019,43.0481221,-76.1474244,1.345192308,4572107.09,186162.77,2534261.01,4857.18
Syracuse,Syracuse,NY,2020,43.0481221,-76.1474244,1.2984375,5155020.26,483886.99,2179157.92,35685.47
Tampa,Tampa,FL,2015,27.9477595,-82.458444,1.356634615,17131597.85,10217422.84,2266099.16,7879.01
Tampa,Tampa,FL,2016,27.9477595,-82.458444,1.264519231,21680749.36,9282572.39,4974385.4,5051.72
Tampa,Tampa,FL,2017,27.9477595,-82.458444,1.619339623,20550137.1,12052648.76,2935717.89,11767.05
Tampa,Tampa,FL,2018,27.9477595,-82.458444,1.305306122,26788583.18,16419550.31,2039714.29,69657.84
Tampa,Tampa,FL,2019,27.9477595,-82.458444,1.143557692,31114693,12198226.45,1022869.39,167548.29
Tampa,Tampa,FL,2020,27.9477595,-82.458444,1.088020833,31362307.13,12838086.35,1026087.5,24168.16
